sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s07,1,SaintMotel.wav,10.032504665956367,40.28502887499053,nan,43.29048462497303,46.290641790954396,3,3,3
s07,1,Beatles.wav,49.294132707989775,79.31412670796271,2,82.33268883294659,85.34360495797591,1.0208402500138618,3,3
s07,1,FlatlandCavalry.wav,88.3472714999807,118.57837808295153,1,123.58555958297802,126.58980370796053,0.5629881250206381,5,5
s07,1,Strokes_YouOnlyLiveOnce.wav,131.5956182499649,161.6079147499986,3,164.6147579579847,167.61897137499182,0.9518389999866486,3,3
s07,1,WendyRene.wav,170.62464704096783,200.63746645796346,2,207.64955974998884,210.65351195796393,0.8945705419755541,7,7
s07,1,BobMarley.wav,217.65904945798684,247.6715807080036,3,254.67934049997712,257.68263908295194,1.0679227079963312,7,7
s07,1,PennyPenny.wav,264.6883865830023,294.7055180829484,2,299.71222041599685,302.7158549579908,0.4542719589662738,5,5
s07,1,TownesVanZandt.wav,307.72137591597857,337.7340107499622,1,342.740905582963,345.7643089159974,0.7847740419674665,5,5
s07,1,ArcadeFire.wav,350.7699085409986,380.7821267079562,4,387.7869836249738,390.7910691659781,0.6255214579869062,7,7
s07,1,America.wav,397.79483254096704,427.8055518329493,1,432.8163189999759,435.82001395797124,0.44674149999627843,5,5
s07,1,Florence+TheMachine.wav,440.8238700410002,470.8489738329663,5,473.85404108295916,476.8722653329605,0.44537237501936033,3,3
s07,1,Carpenters.wav,479.87765754095744,509.8952331659966,3,516.901977499947,519.9061852499726,1.5684219999820925,7,7
