sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s05,2,MaxRichter.wav,10.022340832976624,40.26242112496402,5,45.26976404100424,48.27308983297553,0.6510975409764796,5,5
s05,2,TaylorSwift.wav,53.27774645801401,83.49762991600437,2,90.50431358302012,93.50770829099929,1.4291249579982832,7,7
s05,2,Donnie&JoeEmerson.wav,100.51252529100748,130.52890191599727,3,137.53585054096766,140.5390610829927,2.467597165959887,7,7
s05,2,NeilYoung.wav,147.54367408301914,177.55831570801092,nan,180.56755983299809,183.5677226660191,3,3,3
s05,2,Strokes.wav,186.57244733301923,216.5855234999908,5,221.59162437496707,224.59500816598302,1.0309082079911605,5,5
s05,2,Dilla.wav,229.5999409579672,259.61385433300165,2,262.61977145797573,265.6428969579865,1.2592550410190597,3,3
s05,2,Paramore.wav,268.6471576659824,298.66530366597,1,303.6717367909732,306.67541595798684,1.0136889170389622,5,5
s05,2,CurtisHarding.wav,311.6802732910146,341.6954999999725,4,344.70209512498695,347.7185178329819,0.6165225830045529,3,3
s05,2,Muse.wav,350.72305620799307,380.7355547079933,1,383.7415525409742,386.74478966597235,0.6906999169732444,3,3
s05,2,EltonJohn.wav,389.7490473749931,419.7617930829874,5,426.7675672500045,429.7710104159778,0.7606807919801213,7,7
s05,2,Chainsmokers.wav,436.7758455409785,466.789637333015,2,471.79642941599013,474.80538245796924,0.9157648339751177,5,5
s05,2,KateBush.wav,479.8090513329953,509.8226515830029,5,516.8379620409687,519.841460458003,0.8445327920489945,7,7
