sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s01,2,NeilYoung.wav,10.030559291997633,40.274685374999535,4,45.28176820900262,48.285671459001605,0.8466284579990315,5,5
s01,2,TaylorSwift.wav,53.2912914999979,83.5070271250006,1,90.51406375000079,93.53635024999676,0.4585858329955954,7,7
s01,2,Dilla.wav,100.54222266699799,130.55929425000068,5,133.56653287499648,136.58912483399763,0.6568463750008959,3,3
s01,2,Paramore.wav,139.59469037500094,169.6073798340003,1,174.61455320900131,177.61747470899718,0.8285467919995426,5,5
s01,2,MaxRichter.wav,182.6231678749973,212.6359124590017,3,215.6430789590013,218.64707570899918,1.4918593749971478,3,3
s01,2,Donnie&JoeEmerson.wav,221.6526040000026,251.66494262500055,5,256.6723872090006,259.6760740000027,0.5858361249993322,5,5
s01,2,KateBush.wav,264.68171720900136,294.69280045900086,4,301.6995021670009,304.7036519999965,0.4964315409961273,7,7
s01,2,Strokes.wav,311.7095384999993,341.7215997090025,3,348.7288840420006,351.73286345900124,0.5753254580049543,7,7
s01,2,Muse.wav,358.738705374999,388.75137895900116,3,393.7585423339988,396.76233279200096,0.4395723750058096,5,5
s01,2,Chainsmokers.wav,401.76810208400275,431.78445991699846,5,434.7917491249973,437.795669334002,1.5423767499960377,3,3
s01,2,EltonJohn.wav,440.8013970000029,470.8133440840029,3,477.8210517499974,480.8250882499997,0.6601140420025331,7,7
s01,2,CurtisHarding.wav,487.8310232500007,517.8431542920007,4,520.8504713340008,523.8543607920001,0.8293167919982807,3,3
