sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s03,1,America.wav,10.025864833005471,40.15244870800234,nan,43.15855387500778,46.15873466701305,3,3,3
s03,1,WendyRene.wav,49.16322633301024,79.17847554200853,3,84.18468433301314,87.19667800000752,0.8923619169945596,5,5
s03,1,Carpenters.wav,92.20244175000698,122.21582516700437,2,125.22285233301227,128.2300677500025,0.8103190419933526,3,3
s03,1,Florence+TheMachine.wav,131.23554025001067,161.24999400001252,4,166.25681004200305,169.27914558300108,0.4937997499946505,5,5
s03,1,BobMarley.wav,174.282836917002,204.29180775000714,2,211.29916645800404,214.30303387501044,1.87464712500514,7,7
s03,1,SaintMotel.wav,221.3086747500056,251.31743562500924,4,258.32439304199943,261.3285426250077,0.47321141698921565,7,7
s03,1,FlatlandCavalry.wav,268.334202500002,298.54298333301267,2,303.54782466701,306.57170725001197,0.653041542012943,5,5
s03,1,ArcadeFire.wav,311.5755202080036,341.58562462500413,1,348.5905188750039,351.59434445800434,0.7230723340035183,7,7
s03,1,PennyPenny.wav,358.59820841701,388.60810645800666,2,391.6149437920103,394.61864591701305,0.6941824170062318,3,3
s03,1,TownesVanZandt.wav,397.6239899170032,427.6339309580071,3,434.64071183300985,437.64464370800124,0.4851797499868553,7,7
s03,1,Strokes_YouOnlyLiveOnce.wav,444.6504591670091,474.6556025000027,5,477.66233108300366,480.6845405000058,1.139657209001598,3,3
s03,1,Beatles.wav,483.68994416701025,513.7015638330049,4,518.7082212920068,521.7122275830043,0.43509983400872443,5,5
