sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s08,2,KateBush.wav,10.016590083949268,40.14001537498552,3,45.147531166963745,48.150557083950844,1.0692225419916213,5,5
s08,2,Paramore.wav,53.15602316695731,83.36917187500512,1,88.37594474997604,91.37974483397556,0.8450999580090865,5,5
s08,2,EltonJohn.wav,96.38541579199955,126.39415675000055,5,133.40089545899536,136.40449174999958,1.2214442910044454,7,7
s08,2,NeilYoung.wav,143.41031133395154,173.4191655839677,4,176.42595179198543,179.43002837494714,0.802652999991551,3,3
s08,2,Dilla.wav,182.43548870895756,212.44442174996948,1,217.4509251669515,220.4742422499694,1.0153849589987658,5,5
s08,2,Muse.wav,225.47981416695984,255.48814170894912,1,262.49523987498833,265.4989402499632,0.7249286670121364,7,7
s08,2,Chainsmokers.wav,272.50467608397594,302.5148821249604,3,309.5215752919903,312.52453341695946,1.1005296250223182,7,7
s08,2,Strokes.wav,319.5301160419476,349.53880799998296,4,352.5455875839689,355.55947366700275,1.7642657079850323,3,3
s08,2,TaylorSwift.wav,358.5649791249889,388.5827800419647,4,391.58951354195597,394.59359870897606,1.6302532500121742,3,3
s08,2,Donnie&JoeEmerson.wav,397.59919399995124,427.60839904198656,4,430.6153215839877,433.63802595896414,0.7516628329758532,3,3
s08,2,MaxRichter.wav,436.6433783340035,466.6520915419678,4,473.658806249965,476.66274312499445,0.8662637079833075,7,7
s08,2,CurtisHarding.wav,483.66835916700074,513.6768085419899,3,518.684041416971,521.7061479589902,0.7496148340287618,5,5
