sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s07,2,Donnie&JoeEmerson.wav,10.033603791962378,40.272211125004105,2,45.279466292005964,48.28820183395874,1.4613769160350785,5,5
s07,2,Paramore.wav,53.29384979198221,83.31561308400705,5,90.32244295900455,93.3441649999586,0.7699267090065405,7,7
s07,2,Muse.wav,100.34987695899326,130.3656716249534,5,135.37239674996817,138.38093537499662,1.1688322910340503,5,5
s07,2,Chainsmokers.wav,143.38657945900923,173.59920424997108,2,176.6157792499871,179.61937074997695,0.6854107080143876,3,3
s07,2,KateBush.wav,182.62294304196257,212.6475138749811,4,217.6528078339761,220.6562991249957,0.829188916948624,5,5
s07,2,NeilYoung.wav,225.66019504197175,255.67282262496883,nan,258.6796584999538,261.67981654196046,3,3,3
s07,2,CurtisHarding.wav,264.6851481249905,294.697618709004,5,297.70695591700496,300.710704166966,0.977033791015856,3,3
s07,2,TaylorSwift.wav,303.7159682919737,333.7344095419976,2,340.74140187498415,343.7451592919533,1.4452924170182087,7,7
s07,2,Dilla.wav,350.7508432089817,380.7632814589888,1,383.7698965839809,386.77387174998876,0.6613535409560427,3,3
s07,2,Strokes.wav,389.7793665420031,419.79207329195924,4,426.7982582919649,429.80234200000996,0.7098520419676788,7,7
s07,2,EltonJohn.wav,436.80826737498865,466.82088774995646,2,471.82735695899464,474.8420137919602,2.3091346669825725,5,5
s07,2,MaxRichter.wav,479.84746570896823,509.8618869589991,5,516.8689395419788,519.8727861669613,0.5173087909934111,7,7
