sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s08,1,Florence+TheMachine.wav,10.026204874971882,40.270689166965894,nan,47.27792712498922,50.27802533301292,3,7,7
s08,1,SaintMotel.wav,57.28361174999736,87.2973105830024,2,90.30425679200562,93.30769774998771,1.3810407919809222,3,3
s08,1,ArcadeFire.wav,96.31327674997738,126.32193345797714,3,133.32898512500105,136.33293687499827,0.9165561670088209,7,7
s08,1,BobMarley.wav,143.3382243749802,173.34691362496233,2,176.35761691699736,179.36185287497938,1.2325609580148011,3,3
s08,1,PennyPenny.wav,182.36743745801505,212.37634529196657,2,217.383743125014,220.38771766697755,0.8566633340087719,5,5
s08,1,America.wav,225.39346041699173,255.3983047499787,4,260.40538237500004,263.4092302079662,0.6557153749745339,5,5
s08,1,FlatlandCavalry.wav,268.41481616697274,298.5541283329949,4,305.5607027079677,308.5838484169799,1.2577440000022762,7,7
s08,1,WendyRene.wav,315.5896507920115,345.5998250829871,2,348.6066646669642,351.6107205830049,0.8595087080029771,3,3
s08,1,TownesVanZandt.wav,354.6160849169828,384.62603549996857,4,387.63088779198006,390.6337634169613,1.1188205840298906,3,3
s08,1,Strokes_YouOnlyLiveOnce.wav,393.6373054169817,423.65177383297123,5,430.676866416994,433.68092054198496,0.702177583007142,7,7
s08,1,Beatles.wav,440.6849807079998,470.70143995800754,5,475.7084660420078,478.71225516701816,0.7755494999582879,5,5
s08,1,Carpenters.wav,483.7181462919689,513.7283313329681,1,518.7351781670004,521.7392418329837,0.6042880410095677,5,5
