sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s02,2,KateBush.wav,10.027645540991216,40.162682415990275,4,43.169839708003565,46.17758537500049,0.7146129579923581,3,3
s02,2,MaxRichter.wav,49.18288816600398,79.40648691599199,5,84.41350862500258,87.41808312499779,1.5862403749924852,5,5
s02,2,NeilYoung.wav,92.42368237499613,122.43496395800321,4,129.44157608300156,132.4630252909992,0.27888537499529775,7,7
s02,2,Paramore.wav,139.46885404099885,169.4802662909933,1,172.4870613749954,175.5102039159974,1.166176540995366,3,3
s02,2,Chainsmokers.wav,178.51572654099436,208.52835962499375,1,215.53606408300402,218.5399328749918,0.977166374999797,7,7
s02,2,TaylorSwift.wav,225.54563024999516,255.56549662500038,4,260.57276333299524,263.57680424999853,0.40248499999870546,5,5
s02,2,Strokes.wav,268.58244687499246,298.59332337499654,5,303.6010707910027,306.60512020799797,0.327204500004882,5,5
s02,2,Donnie&JoeEmerson.wav,311.6109077909932,341.6221351659915,5,344.6294775830029,347.63325066599646,0.5000282090040855,3,3
s02,2,Dilla.wav,350.63852620800026,380.6499265409948,3,385.6623707079998,388.66624704099377,1.0137782090023393,5,5
s02,2,Muse.wav,393.672008708003,423.68281891600054,1,426.68966658299905,429.6926495410007,1.0932808330107946,3,3
s02,2,CurtisHarding.wav,432.69844679099333,462.7097169579938,4,469.71716541599017,472.72064887499437,0.2609112920035841,7,7
s02,2,EltonJohn.wav,479.72650316599174,509.7372564160032,5,516.744029458001,519.747704207999,0.5073540419980418,7,7
