sid,run_num,stim_file,video_onset,key_pressed,key_pressed_onset,key_pressed_RT,video_offset
s01,3,JimGaffigan.mp4,10.034623374999967,1,162.09010691699996,209.4323205,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,170.13424366699996,217.47645829100003,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,172.53522279199996,219.877436333,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,173.134516959,220.47673000000003,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,173.468474625,220.81068937499998,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,176.33541854199996,223.677630916,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,181.91101549999996,229.25322875,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,185.24874091699996,232.590953916,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,188.45012137499998,235.792334875,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,196.858695625,244.20090899999997,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,201.12899425,248.47120708300002,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,203.898969459,251.241182916,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,213.67708520899998,261.019298375,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,218.44692024999995,265.789133791,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,232.66189275,280.00410608299995,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,239.93111066699998,287.27332600000005,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,244.006208334,291.3484225,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,247.608976375,294.95118900000006,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,257.18621095899994,304.528424625,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,267.626598917,314.968812541,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,312.24199258399995,359.584206208,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,331.094254,378.43646833300005,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,343.63928329199996,390.98149625,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,356.48634079199996,403.82855516600006,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,377.442392917,424.784609041,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,384.5483554169999,431.89056983300003,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,391.15419675,438.496410291,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,397.42755787499993,444.769770916,417.01281825
s01,3,JimGaffigan.mp4,10.034623374999967,1,411.2082416669999,458.550455,417.01281825
