sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s06,2,CurtisHarding.wav,10.032090792024974,40.27463495801203,3,45.28074245800963,48.2841165830032,0.8313051669974811,5,5
s06,2,Donnie&JoeEmerson.wav,53.28883508301806,83.30151616700459,1,90.30774916702649,93.31099595798878,0.5888456250540912,7,7
s06,2,EltonJohn.wav,100.31595712498529,130.32463145797374,2,133.3301615419914,136.33360645797802,1.7485188330174424,3,3
s06,2,KateBush.wav,139.33807649998926,169.55315849999897,2,174.56361558299977,177.56708516698563,0.696723708009813,5,5
s06,2,Muse.wav,182.57123529200908,212.58974416699493,3,215.59559783298755,218.5990441670292,0.7527914170059375,3,3
s06,2,Paramore.wav,221.6035424169968,251.61627629201394,3,256.62221429200144,259.6258198749856,0.720607542025391,5,5
s06,2,Dilla.wav,264.63053712499095,294.6406392499921,3,301.64609270798974,304.6494570419891,0.9317246249993332,7,7
s06,2,TaylorSwift.wav,311.65404450002825,341.66779300000053,nan,348.6738544580294,351.67399966699304,3,7,7
s06,2,Strokes.wav,358.67916912498185,388.68894583301153,2,395.69513245800044,398.71129649999784,0.83718349999981,7,7
s06,2,Chainsmokers.wav,405.7159792499733,435.7248582500033,nan,440.7308794580167,443.7309887079755,3,5,5
s06,2,MaxRichter.wav,448.73577662499156,478.7456664579804,3,481.75132779200794,484.7648515829933,0.7998504170100205,3,3
s06,2,NeilYoung.wav,487.7693391669891,517.7792572919861,1,520.7983152919915,523.8018515420263,0.9082085830159485,3,3
