sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s04,1,FlatlandCavalry.wav,10.02464200000395,40.26139308299753,4,43.26744145801058,46.28708574999473,0.7866059159860015,3,3
s04,1,TownesVanZandt.wav,49.29119374998845,79.51104529100121,4,84.51679133300786,87.5294891250087,0.7938520000025164,5,5
s04,1,America.wav,92.5340815410018,122.54103824999765,5,125.54715624998789,128.55049699998926,0.22806929200305603,3,3
s04,1,Carpenters.wav,131.55512395800906,161.56798054100364,5,168.5744047909975,171.5776034159935,0.9498386250052135,7,7
s04,1,BobMarley.wav,178.582380708016,208.59359895798843,3,213.60003945798962,216.60338079099893,0.8970196669979487,5,5
s04,1,Florence+TheMachine.wav,221.60821729101008,251.62524683299125,5,258.63137341599213,261.6451675829885,0.7127097920165397,7,7
s04,1,WendyRene.wav,268.64978158299346,298.65853054099716,2,303.6649318750133,306.6679902499891,1.1652354999969248,5,5
s04,1,SaintMotel.wav,311.67231525000534,341.6850985829951,5,344.6910424999951,347.6942890410137,0.954120625014184,3,3
s04,1,Beatles.wav,350.6986402499897,380.71005270798923,5,385.7161898750055,388.7194581250078,0.690832207998028,5,5
s04,1,Strokes_YouOnlyLiveOnce.wav,393.7238663749886,423.7291098329879,2,430.73508379099076,433.73830608298886,0.9093992920243181,7,7
s04,1,PennyPenny.wav,440.7419809580024,470.7546502079931,3,477.7607612909924,480.7641497910081,0.7446327080251649,7,7
s04,1,ArcadeFire.wav,487.7689142500167,517.7796816659975,1,520.785443041008,523.8034383330087,0.5726877499837428,3,3
