sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s02,1,PennyPenny.wav,10.016731291005271,40.25922029100184,2,45.266265458005364,48.27029787500214,1.7449940829974366,5,5
s02,1,ArcadeFire.wav,53.27575670799706,83.29118745800224,4,90.30302925000433,93.30706491599267,1.2356915420095902,7,7
s02,1,Florence+TheMachine.wav,100.31272145800176,130.33144154099864,2,135.33816229099466,138.34218333299214,1.470505500008585,5,5
s02,1,FlatlandCavalry.wav,143.34802504099207,173.5624840829987,4,178.56958141599898,181.59400691599876,2.428112334004254,5,5
s02,1,America.wav,186.59924933299772,216.60417187499115,nan,219.61109649999707,222.61126658300054,3,3,3
s02,1,BobMarley.wav,225.6169525830046,255.63494512499892,1,258.642091791,261.64578291599173,0.8287840830016648,3,3
s02,1,TownesVanZandt.wav,264.6512248749932,294.66401941599906,3,297.67090316599933,300.6746177909954,1.4702997080021305,3,3
s02,1,Carpenters.wav,303.6801742910029,333.69343412500166,4,336.7062867079949,339.71009495800536,0.6460827919945586,3,3
s02,1,SaintMotel.wav,342.7138439160044,372.7352110829961,3,377.7401824580011,380.7628989579971,1.792137083990383,5,5
s02,1,WendyRene.wav,385.7684611250006,415.7811570000049,4,422.78765020800347,425.7914657910005,0.5644221660040785,7,7
s02,1,Beatles.wav,432.7969754579972,462.80933879100485,5,469.81657995800197,472.8204849159956,0.5600580840109615,7,7
s02,1,Strokes_YouOnlyLiveOnce.wav,479.82622975000413,509.83400033299404,3,516.8410293749912,519.8449313329911,1.995216209004866,7,7
